"material_id","status","location"
"6980","2","43209"
"4512","1","317"
"8573","5","581"
"797","1","713"
"2673","2","431"
"9916","1","906"
"7827","1","420"
"2833","1","315"
"9456","5","62423"
"2777","1","5955"
"9001","3","78085"
"7432","2","363"
"8955","2","64832"
"4297","2","67299"
"9479","4","54949"
"3736","2","4957"
"5829","1","9634"
"8995","2","9793"
"8812","4","40851"
"5063","2","957"
"2118","4","74432"
"2115","2","9511"
"3071","3","2732"
"5545","5","131"
"4519","4","6441"
"8113","5","5228"
"3843","1","270"
"6227","4","146"
"2810","3","323"
"2905","2","77883"
"8855","3","94055"
"5801","2","5137"
"9594","4","72861"
"2909","2","895"
"8227","1","529"
"1053","5","865"
"4828","1","6113"
"446","1","485"
"9485","3","81964"
"1536","3","8049"
"7070","4","46513"
"470","5","950"
"2148","4","351"
"3769","2","908"
"4457","5","967"
"3600","5","355"
"8619","1","21470"
"8440","3","467"
"289","1","96560"
"2415","2","327"
"3800","1","6132"
"1440","3","341"
"9557","5","7902"
"755","3","130"
"1566","5","587"
"8948","4","76566"
"530","3","56800"
"5960","3","45922"
"3203","1","99800"
"1402","1","793"
"7183","3","8804"
"8255","3","390"
"2642","3","2589"
"5181","3","310"
"8905","3","19177"
"732","2","7068"
"5974","3","74784"
"6410","4","781"
"7064","1","49364"
"5151","4","9824"
"1209","1","7287"
"1581","4","27957"
"5602","4","7757"
"6617","4","585"
"3758","3","36899"
"6298","4","334"
"9364","5","6822"
"3120","5","622"
"2290","4","623"
"8754","4","28761"
"6636","1","4657"
"121","5","304"
"2349","4","82544"
"2333","2","8443"
"8391","5","539"
"5014","3","854"
"2216","5","55966"
"7017","5","942"
"6896","2","57364"
"1223","2","174"
"2792","5","835"
"5591","1","239"
"6088","3","851"
"6614","4","50324"
"162","1","4061"
"6542","1","999"
"7498","2","93317"
"7334","4","6449"
"8102","2","709"
"658","5","2397"
"6917","1","9632"
"8283","3","73525"
"3930","3","4440"
"6968","1","178"
"7232","3","21014"
"175","3","3875"
"4956","4","2759"
"5582","2","311"
"2711","5","44678"
"2574","3","546"
"2839","3","346"
"3925","5","2952"
"2350","2","71908"
"3685","5","974"
"8817","3","595"
"4605","4","5467"
"2726","4","2439"
"4745","4","75973"
"8969","3","1339"
"7490","2","847"
"661","5","31497"
"7734","1","7628"
"3655","1","98539"
"6744","1","5031"
"6464","2","570"
"3839","1","61546"
"1620","5","443"
"3279","1","8912"
"8745","2","4557"
"5209","3","5098"
"1070","4","621"
"8512","4","3193"
"9797","3","9051"
"6780","4","859"
"2452","3","17339"
"2508","5","167"
"6372","4","64810"
"8551","3","697"
"4064","1","3495"
"8516","2","941"
"2215","4","617"
"6234","4","61705"
"3682","4","40901"
"4381","3","62372"
"9073","3","18754"
"5253","1","640"
"7160","5","13171"
"2311","4","167"
"8206","1","6886"
"8949","4","55588"
"665","2","43858"
"3758","4","2888"
"1770","3","732"
"3512","5","795"
"8799","1","68678"
"4460","5","63961"
"6829","3","775"
"9173","5","58413"
"2518","2","9454"
"1356","3","74340"
"740","1","1388"
"9720","3","6574"
"4537","3","2162"
"6868","1","1931"
"9242","4","6683"
"5349","5","7217"
"756","4","36289"
"2838","2","2908"
"4702","4","113"
"418","3","5526"
"4474","2","876"
"4843","1","6902"
"947","3","641"
"8754","5","1579"
"532","2","89080"
"2418","2","780"
"551","3","54755"
"3384","3","2291"
"3917","1","254"
"6193","2","69482"
"2917","2","9213"
"116","1","21112"
"5688","1","359"
"1434","5","610"
"6535","3","40105"
"9559","5","5090"
"7623","4","39480"
"6192","5","6358"
"5612","1","50594"
"1987","3","55007"
"9120","2","435"
"8816","2","4332"
"5023","2","8760"
"3137","4","304"
"1954","3","6101"
"8440","5","426"
"1950","1","77228"
"969","4","87609"
"8711","1","4447"
"7719","4","6784"
"1033","1","57695"
"5685","4","796"
"1859","1","15461"
"2739","1","392"
"9113","2","66311"
"2080","3","507"
"4983","2","59340"
"2822","5","126"
"5316","4","762"
"4863","4","212"
"1241","5","2990"
"7589","1","767"
"6537","3","9649"
"3769","3","941"
"8883","1","617"
"4994","4","2272"
"7514","2","1460"
"3161","4","3445"
"4325","3","279"
"3985","3","63765"
"4088","3","8579"
"7258","1","7015"
"9821","5","907"
"8539","4","9288"
"1316","3","614"
"2129","3","5895"
"8715","4","49846"
"9019","1","2405"
"7252","3","12752"
"4983","1","9665"
"9033","2","145"
"7704","4","627"
"4172","4","670"
"5257","5","33413"
"9375","5","88673"
"5058","3","78266"
"2984","3","82186"
"6578","2","94440"
"1372","4","1294"
"119","1","6880"
"4771","5","29247"
"5086","4","963"
"6865","4","425"
"2734","4","51713"
"6810","3","3630"
"576","2","62602"
"3609","1","139"
"7529","1","1498"
"5137","2","996"
"7261","5","347"
"6118","3","9177"
"7920","4","5042"
"6543","3","5245"
"8281","1","583"
"6612","2","8702"
"7030","1","9379"
"9401","4","14675"
"1682","2","6412"
"7801","3","4889"
"7056","3","625"
"339","5","1665"
"1425","1","1085"
"2311","2","3290"
"4230","5","814"
"3065","2","1617"
"2369","1","69172"
"3637","2","530"
"9173","4","61531"
"3834","1","464"
"2017","1","6164"
"1405","2","786"
"8552","4","18692"
"160","5","942"
"1257","5","87481"
"4477","3","9074"
"9493","5","537"
"812","2","7803"
"266","4","361"
"4435","2","9652"
"8322","5","525"
"1931","5","273"
"1198","2","98960"
"9369","2","474"
"2412","4","23726"
"1929","5","581"
"9720","5","64146"
"570","5","986"
"1959","2","63613"
"5610","4","59315"
"1339","4","3507"
"8342","5","753"
"7037","5","696"
"5731","4","426"
"1852","2","787"
"8331","5","5193"
"26","1","86704"
"8434","5","51980"
"8146","5","8658"
"2783","2","27964"
"9998","1","8599"
"2458","2","3240"
"9334","5","34623"
"1973","2","962"
"9836","5","7821"
"5032","3","41394"
"9618","5","8884"
"3145","1","807"
"4886","1","25501"
"3126","1","9865"
"8562","5","1044"
"6603","2","56419"
"2871","1","76892"
"267","4","569"
"5057","5","5969"
"5117","4","3263"
"3471","1","876"
"1628","4","9326"
"9243","5","656"
"5573","5","250"
"9571","1","82015"
"8892","1","4719"
"3454","5","503"
"5210","1","2761"
"1731","1","772"
"2081","2","8797"
"9712","3","4271"
"927","1","33320"
"5646","3","931"
"5172","4","38365"
"9639","5","183"
"5724","2","37202"
"3232","5","249"
"8349","2","8778"
"5268","3","2725"
"4891","1","49099"
"5282","5","829"
"9132","3","573"
"4356","3","98787"
"4484","1","534"
"2135","4","2208"
"6820","4","6667"
"2557","3","1420"
"2923","2","4258"
"1041","5","913"
"7664","1","25477"
"7554","3","2916"
"416","5","209"
"233","3","821"
"5199","1","83240"
"6849","5","89081"
"233","5","59433"
"8477","1","7852"
"7926","3","93349"
"3159","2","710"
"1414","4","42840"
"1669","3","15646"
"831","2","96915"
"753","3","1711"
"3799","2","704"
"1416","1","7360"
"1194","4","793"
"4311","1","7515"
"6108","2","8700"
"5633","1","3328"
"9309","2","15303"
"6605","4","48418"
"2111","2","209"
"1633","1","845"
"8601","5","677"
"1935","4","876"
"9862","2","69345"
"7635","1","2542"
"5192","5","3965"
"7978","5","182"
"153","2","5839"
"319","5","3283"
"3919","5","909"
"5131","1","698"
"2540","1","3866"
"3579","4","41788"
"4304","1","461"
"4055","1","239"
"8274","5","9975"
"8742","4","588"
"1409","1","2862"
"6936","3","679"
"1444","2","959"
"8980","2","2114"
"5723","4","316"
"792","3","872"
"565","3","7054"
"8527","3","29008"
"8875","3","3817"
"8400","5","319"
"7483","5","96931"
"3069","1","356"
"7196","1","895"
"2247","1","36695"
"2580","4","8476"
"9033","5","59803"
"5553","3","93172"
"6732","1","92439"
"749","2","843"
"255","5","387"
"6468","2","6670"
"4952","4","82403"
"8550","1","6915"
"9484","2","3560"
"8380","1","32996"
"1632","4","583"
"3897","5","433"
"6895","4","551"
"6798","1","81869"
"5239","2","211"
"9145","5","75572"
"7746","2","587"
"2665","1","5095"
"5635","4","35050"
"3990","4","3499"
"2793","2","2890"
"2218","1","533"
"3138","2","987"
"4998","3","1844"
"1090","3","405"
"9620","3","69277"
"4218","2","45037"
"8561","3","4011"
"9597","2","794"
"7867","1","98105"
"1380","3","6349"
"3642","5","63208"
"7750","5","451"
"9258","1","75302"
"5669","5","71925"
"2558","5","400"
"9557","4","794"
"5398","4","4328"
"7298","3","673"
"2822","2","10436"
"9838","4","14462"
"3507","5","6373"
"8148","2","114"
"8770","1","239"
"7960","1","833"
"7283","4","75879"
"9208","4","4854"
"3398","3","6148"
"3611","4","8920"
"7088","3","308"
"85","2","3005"
"2201","2","8835"
"2670","5","928"
"3402","4","9972"
"3573","1","7469"
"1455","2","9902"
"4616","3","76318"
"3064","3","429"
"3126","4","41519"
"4654","4","4953"
"1974","4","3753"
"6878","2","84368"
"945","4","93620"
"2549","4","495"
"322","2","43688"
"4421","4","10230"
"8937","5","694"
"6004","5","8635"
"1094","2","819"
"5319","3","306"
"9009","3","94298"
"3668","3","4365"
"8385","4","3629"
"7174","3","52632"
"2214","2","1059"
"7503","5","2578"
"8167","5","45899"
"2917","1","6781"
"5454","1","58330"
"970","5","1249"
"4594","3","846"
"1550","2","390"
"1167","3","397"
"4785","1","6232"
"6109","2","63187"
"6769","1","52558"
"393","5","3998"
"5261","1","1503"
"3597","1","5372"
"1370","4","78229"
"9852","5","9962"
"6908","4","6280"
"2990","2","701"
"2449","3","76583"
"6187","5","843"
"9484","3","314"
"5165","2","101"
"7618","3","82353"
"3559","1","80351"
"4904","4","823"
"3451","1","142"
"213","3","66195"
"6676","2","14193"
"1544","3","3533"
"1897","4","5955"
"7881","4","1938"
"2625","2","72270"
"8671","5","4016"
"4910","3","47001"
"9634","4","1752"
"1394","3","26323"
"5984","4","1620"
"4432","4","6091"
"9618","4","352"
"8788","3","7268"
"2498","3","579"
"1997","3","3461"
"6766","2","67262"
"8342","5","3124"
"427","4","4013"
"1636","1","20250"
"474","2","37369"
"1659","2","170"
"3535","4","284"
"4792","3","87013"
"7372","4","827"
"9347","1","863"
"7662","4","337"
"6039","4","2140"
"6897","1","189"
"6168","1","5572"
"8864","3","903"
"1859","4","7138"
"6515","5","3474"
"1652","3","337"
"9290","2","976"
"3337","3","8426"
"8086","2","286"
"1556","2","4301"
"4900","4","7120"
"1401","2","340"
"9981","2","7055"
"5761","2","2232"
"6935","1","7832"
"5204","1","5349"
"5272","2","13550"
"1246","5","4601"
"2056","3","6426"
"9679","4","808"
"2724","5","8840"
"4309","2","41549"
"3677","1","711"
"2934","5","7690"
"1023","1","76260"
"2190","1","625"
"5388","5","7158"
"6076","2","74407"
"3185","3","5414"
"1299","3","91967"
"7526","3","428"
"6281","4","66633"
"8640","2","2706"
"7055","5","3902"
"7280","5","508"
"2823","2","89016"
"7737","3","8658"
"7875","4","72942"
"3463","4","4309"
"4911","5","1876"
"1524","5","36183"
"6678","1","15932"
"3482","4","340"
"5837","3","22263"
"5585","4","2738"
"1063","3","121"
"1763","5","4180"
"1935","3","88509"
"9273","2","736"
"2667","1","94482"
"7665","4","6581"
"6961","1","877"
"5826","2","9642"
"7716","3","96180"
"1455","1","6985"
"7454","1","9568"
"5720","3","199"
"4125","4","543"
"6444","4","2334"
"8606","3","4021"
"9718","2","15472"
"6533","1","8798"
"3009","5","769"
"1893","3","46094"
"5962","3","62145"
"1709","3","523"
"592","4","8070"
"3389","5","933"
"4079","3","4440"
"4166","2","8979"
"8774","2","3400"
"74","3","2066"
"8917","2","50613"
"4335","1","3404"
"9509","3","839"
"7005","5","40096"
"2618","5","379"
"5994","3","7806"
"6400","3","6292"
"6686","3","52362"
"5161","1","76515"
"9230","5","12878"
"6653","2","9941"
"3702","5","36978"
"6100","4","6414"
"4647","5","1711"
"5572","3","909"
"5574","4","7877"
"2842","1","51475"
"4335","4","5838"
"7637","1","3395"
"774","3","5448"
"5304","3","9071"
"8574","4","932"
"9886","5","45069"
"6843","5","5523"
"4986","5","83480"
"2595","2","246"
"4872","3","148"
"561","2","541"
"2747","3","8555"
"1176","2","9588"
"5571","2","89106"
"8712","3","7025"
"7940","3","735"
"1537","5","88924"
"2984","3","26428"
"9054","4","26595"
"8765","4","2204"
"4049","1","4173"
"5223","2","5042"
"7657","4","40975"
"1343","1","22876"
"124","2","45560"
"2835","1","1648"
"1629","3","21756"
"8897","1","813"
"5280","1","415"
"4269","1","2588"
"273","1","621"
"7018","3","393"
"5336","4","633"
"1290","3","348"
"4337","3","252"
"9655","5","1163"
"1069","1","1630"
"1890","1","17262"
"5210","1","623"
"9676","2","1328"
"7324","3","601"
"4899","5","691"
"3900","1","4978"
"392","1","23730"
"5352","4","90883"
"9369","1","235"
"2734","3","81237"
"8904","1","933"
"9957","4","82083"
"6755","4","4290"
"266","2","81945"
"1374","5","645"
"8535","4","1941"
"8936","4","9121"
"7886","1","412"
"7234","4","5348"
"6114","1","9316"
"8306","2","5442"
"4261","4","7940"
"142","3","6027"
"7609","3","1307"
"9890","3","359"
"4460","3","45368"
"2346","2","1035"
"623","3","470"
"2999","5","11440"
"7765","3","95391"
"4617","1","70943"
"2150","4","5441"
"5376","1","959"
"3077","3","941"
"3809","4","9666"
"5727","3","795"
"9717","2","120"
"1144","4","165"
"3949","2","94805"
"536","4","89610"
"1290","2","6643"
"5850","4","67117"
"1565","2","53832"
"4638","2","93649"
"1916","5","57882"
"6670","4","93837"
"8123","4","55556"
"2510","3","905"
"4027","1","78539"
"691","2","8086"
"9391","1","1395"
"528","3","853"
"657","4","6985"
"1804","5","6377"
"2680","1","91743"
"1718","5","11238"
"8388","5","7048"
"9028","3","4002"
"7205","3","676"
"5919","5","5051"
"8028","3","49886"
"8718","2","516"
"5077","1","787"
"4755","3","368"
"5913","4","894"
"5432","2","56900"
"5441","1","14335"
"3481","1","8679"
"3374","3","753"
"6573","1","70127"
"8550","4","627"
"7895","1","83526"
"2290","3","4323"
"744","4","6622"
"9411","3","80367"
"2674","4","271"
"5875","3","442"
"7606","2","544"
"2841","4","8161"
"9175","5","491"
"7706","2","882"
"7531","2","82982"
"4173","4","920"
"8552","2","304"
"8313","4","8867"
"3343","1","380"
"5676","1","68734"
"5895","1","8317"
"4954","3","4663"
"5906","4","7184"
"955","5","47249"
"1436","3","37630"
"4069","3","45489"
"2120","3","91947"
"2024","5","54099"
"7042","1","886"
"6009","4","7653"
"3479","1","101"
"215","1","7048"
"944","5","828"
"2118","1","4199"
"104","2","76703"
"8076","5","2192"
"962","4","5549"
"7059","1","4482"
"784","1","8824"
"5543","4","768"
"2475","5","322"
"1327","3","8334"
"3515","4","8222"
"382","2","6684"
"1973","4","43312"
"5150","1","7835"
"2282","4","380"
"8828","1","418"
"3689","3","806"
"6096","1","69769"
"109","4","41535"
"5667","4","88194"
"5613","3","904"
"4026","4","915"
"7846","1","7251"
"8739","5","266"
"9436","3","829"
"7802","5","249"
"3951","5","3116"
"4582","1","34557"
"8926","2","90491"
"4521","2","860"
"2830","4","293"
"4264","1","6633"
"3835","1","977"
"9937","3","583"
"2860","3","89263"
"2057","3","36083"
"9822","3","5809"
"8358","5","57278"
"217","4","5602"
"6399","4","962"
"6059","5","750"
"8480","3","25228"
"8490","2","53001"
"7289","4","693"
"1709","4","14979"
"754","1","95251"
"6839","4","9901"
"1591","4","921"
"1506","4","59038"
"859","1","76809"
"9602","4","320"
"4293","4","7254"
"465","5","164"
"372","5","80915"
"6970","3","23695"
"9014","3","915"
"4771","5","9005"
"8028","3","324"
"5355","1","1383"
"3045","5","667"
"8185","2","7554"
"4453","3","371"
"6780","2","9193"
"676","2","1713"
"5967","3","69482"
"4352","1","69483"
"8228","2","677"
"65","3","4286"
"1991","4","4403"
"8385","3","14326"
"1621","3","139"
"2231","3","6603"
"4646","4","138"
"5739","1","874"
"8197","2","96580"
"1434","1","6828"
"5991","1","68850"
"151","5","408"
"9887","3","7725"
"7861","2","668"
"8802","4","4992"
"9568","1","3828"
"4447","4","2234"
"6970","1","13488"
"3841","1","9037"
"3194","5","4580"
"1910","3","62208"
"580","2","460"
"1690","4","909"
"1773","2","7148"
"6958","3","2341"
"6621","4","54525"
"8697","3","9724"
"3691","5","7750"
"5316","3","54010"
"6482","1","4843"
"1212","5","425"
"8253","1","93865"
"5063","2","29956"
"6038","5","893"
"774","4","55339"
"5051","2","688"
"4805","5","33363"
"4623","3","81169"
"4431","2","8388"
"4508","2","704"
"4143","3","210"
"2890","2","45404"
"9893","5","845"
"6349","3","3109"
"4841","3","169"
"2908","5","2841"
"7450","4","548"
"9199","4","12624"
"4338","5","596"
"6908","5","2086"
"4890","5","23583"
"8874","5","59181"
"1682","4","388"
"5974","1","5263"
"3648","3","68600"
"7862","2","34293"
"3878","3","458"
"8097","4","881"
"4020","3","2426"
"1400","3","5835"
"6283","2","894"
"7073","4","19812"
"1736","3","8256"
"2630","2","24915"
"5113","3","942"
"7501","5","26187"
"2035","5","78295"
"5924","1","503"
"9875","4","4389"
"1723","4","73642"
"3801","3","33241"
"2492","2","554"
"2808","2","39077"
"2268","5","4306"
"4496","4","14998"
"9773","1","56886"
"9520","2","28381"
"612","4","3288"
"4272","1","304"
"1732","4","40380"
"1421","3","962"
"6036","2","62057"
"7884","4","374"
"1298","1","103"
"2793","4","7442"
"6430","3","1078"
"4314","1","215"
"5709","3","619"
"6300","5","12847"
"6024","2","37279"
"7289","3","79968"
"3233","4","24677"
"5964","4","15184"
"8722","4","98744"
"3369","4","202"
"600","5","9029"
"576","1","6265"
"4206","4","9364"
"7314","2","933"
"2536","4","4123"
"6958","4","15000"
"5187","1","13333"
"8891","3","21254"
"4778","2","575"
"4742","3","2343"
"5433","2","545"
"6867","1","15797"
"3419","3","46752"
"5480","1","64237"
"2728","1","637"
"4644","3","61161"
"9313","4","544"
"2255","1","3593"
"2493","5","90994"
"8507","5","2401"
"4574","3","220"
"9609","5","5786"
"8020","2","67933"
"4959","5","607"
"8643","5","380"
"7313","3","52300"
"2793","2","640"
"5626","3","93964"
"4416","5","36075"
"2502","5","120"
"9216","3","14353"
"2678","4","10496"
"1961","2","35666"
"2461","1","63422"
"9932","1","2821"
"867","5","95436"
"836","3","45988"
"1330","5","87006"
"9778","1","55703"
"949","2","11457"
"2879","3","2016"
"372","4","644"
"2445","2","263"
"7776","5","44109"
"4335","4","6387"
"5002","4","936"
"1188","4","8883"
"8370","4","87843"
"677","1","5320"
"8707","3","730"
"9426","2","81041"
"896","1","1670"
"1989","1","3230"
"9294","4","2262"
"6187","3","6798"
"7844","2","6280"
"5268","2","107"
"2039","2","83096"
"1212","5","6802"
"7300","2","32423"
"3203","1","928"
"8927","2","866"
"5830","2","5933"
"4607","1","49018"
"5845","2","69268"
"2955","1","1345"
"3297","4","46621"
"7351","2","527"
"955","4","8994"
"9625","4","3195"
"8458","1","89697"
"1337","1","52481"
"4305","3","8630"
"5358","2","666"
"1811","2","93257"
"6359","3","8259"
"6292","1","2666"
"2922","2","10210"
"5506","5","33356"
"3862","2","505"
"61","2","879"
"7666","5","828"
"2752","5","37054"
"4194","5","80824"
"5498","5","625"
"4317","1","650"
"4124","5","2525"
"4733","4","550"
"6199","3","72905"
"4067","2","5236"
"3957","2","133"
"4197","1","21298"
"6615","2","32539"
"5227","4","722"
"3163","1","32938"
"9874","4","605"
"9738","5","44481"
"2019","4","1369"
"3674","2","61034"
"7468","1","844"
"2128","4","51826"
"8234","5","360"
"6951","3","513"
"8118","2","108"
"3688","5","909"
"6571","1","97546"
"4195","1","610"
"2593","5","51261"
"1435","1","4154"
"856","5","6750"
"1818","1","483"
"4614","4","620"
"5659","5","60276"
"6423","5","51194"
"3477","3","8098"
"7906","4","36188"
"9816","1","7308"
"2893","5","5181"
"6527","3","6630"
"6351","4","704"
"7844","4","222"
"6332","4","98006"
"9554","5","149"
"8823","4","53682"
"4881","5","574"
"6475","1","22609"
"2239","2","9892"
"536","4","97346"
"5634","5","878"
"8968","2","7217"
"5030","2","523"
"1213","3","4889"
"1555","1","9238"
"2517","4","68468"
"1158","3","842"
"6184","4","9201"
"7761","3","9652"
"8739","5","86283"
"8646","5","569"
"9187","1","4205"
"916","1","51110"
"7202","5","5980"
"3542","2","95528"
"3133","1","15824"
"6253","4","6169"
"3779","5","35105"
"4860","4","125"
"6258","2","9388"
"8667","2","3805"
"2678","1","963"
"7942","2","9081"
"7618","3","38638"
"7302","2","81539"
"5113","5","981"
"9502","5","941"
"8073","4","802"
"5691","5","48984"
"7634","2","6340"
"1499","1","21446"
"5872","1","7859"
"3940","3","68160"
"1052","5","873"
"3305","3","73307"
"4380","2","435"
"9342","2","59268"
"9212","3","491"
"2585","3","2418"
"1877","3","7872"
"4102","4","654"
"70","5","610"
"5414","3","721"
"3576","3","828"
"8691","4","158"
"4547","4","171"
"5625","3","28039"
"3937","1","23026"
"8494","4","407"
"7541","2","567"
"4639","3","2447"
"9723","4","2302"
"3759","4","981"
"9789","4","29155"
"683","4","3933"
"4001","4","9604"
"7289","5","155"
"3088","2","46539"
"3300","2","80718"
"9325","3","380"
"9280","1","95159"
"7880","5","8241"
"1408","4","53196"
"7407","2","7769"
"4704","5","845"
"4915","4","786"
"7478","1","73074"
"3860","3","5426"
"119","1","290"
"6335","4","387"
"1574","5","9511"
"4980","1","613"
"6466","4","4223"
"1253","3","691"
"148","1","1020"
"3974","4","85849"
"158","5","1289"
"2650","5","98718"
"364","3","8449"
"5552","3","57860"
"5643","2","295"
"7863","4","12862"
"8269","3","24494"
"8461","4","30398"
"2407","3","323"
"5131","2","65735"
"6769","1","931"
"6638","1","28347"
"8534","3","81006"
"1369","3","419"
"8199","4","25019"
"8792","1","284"
"8338","5","7187"
"9714","2","93942"
"4631","4","228"
"2363","2","54204"
"4271","5","932"
"5660","3","1289"
"7431","2","665"
"7996","2","881"
