"staff","copy_id","date","super"
"427","187","02 01 2024","Yost LLC"
"257","188","02 01 2024","Kerluke - Bogisich"
"359","189","02 01 2024","MacGyver - Mraz"
"57","190","02 01 2024","Schulist - White"
"95","191","02 01 2024","Bogisich Inc"
"399","192","02 01 2024","Lehner, McGlynn and Quigley"
"408","193","02 01 2024","Robel, Balistreri and Schuppe"
"153","194","02 01 2024","Connelly - Turner"
"214","195","02 01 2024","Kunde LLC"
"295","196","02 01 2024","Glover Inc"
"440","197","02 01 2024","Skiles Inc"
"386","198","02 01 2024","Auer - Dietrich"
"478","199","02 01 2024","Welch, Wisozk and Purdy"
"246","200","02 01 2024","Doyle and Sons"
"82","201","02 01 2024","Haley, Aufderhar and Strosin"
"51","202","02 01 2024","Gutmann and Sons"
"39","203","02 01 2024","Kessler Inc"
"85","204","02 01 2024","Stiedemann, Murphy and Metz"
"53","205","02 01 2024","Ruecker - Sporer"
"460","206","02 01 2024","Bailey, Hirthe and Hermiston"
"155","207","02 01 2024","Jaskolski LLC"
"212","208","02 01 2024","Cole Group"
"351","209","02 01 2024","Greenholt - Skiles"
"349","210","02 01 2024","Bayer, Kuphal and Hessel"
"55","211","02 01 2024","Feil, Gutkowski and Kuvalis"
"195","212","02 01 2024","Sauer, Shields and Fadel"
"303","213","02 01 2024","Fisher LLC"
"137","214","02 01 2024","Lemke - Kuhn"
"457","215","02 01 2024","Schneider - Nolan"
"162","216","02 01 2024","Mayert Group"
"98","217","02 01 2024","Adams - Schneider"
"157","218","02 01 2024","Hirthe - Douglas"
"351","219","02 01 2024","Bahringer - Murray"
"177","220","02 01 2024","Hackett Inc"
"196","221","02 01 2024","Dach LLC"
"159","222","02 01 2024","Satterfield - Halvorson"
"409","223","02 01 2024","Schinner Inc"
"33","224","02 01 2024","Kub, Gleason and Hessel"
"209","225","02 01 2024","Wilkinson - Reilly"
"386","226","02 01 2024","Kunze Group"
"97","227","02 01 2024","Veum Group"
"141","228","02 01 2024","Ratke - Orn"
"48","229","02 01 2024","Morissette, Gutmann and Rippin"
"448","230","02 01 2024","Metz - Mosciski"
"449","231","02 01 2024","Ritchie, Langosh and Reynolds"
"346","232","02 01 2024","Schoen Inc"
"272","233","02 01 2024","Harvey, Orn and Leannon"
"348","234","02 01 2024","Rogahn, Sawayn and Metz"
"190","235","02 01 2024","Dooley, Prosacco and Gorczany"
"268","236","02 01 2024","Nienow, Medhurst and VonRueden"
"186","237","02 01 2024","Kertzmann - Feil"
"367","238","02 01 2024","Nikolaus and Sons"
"276","239","02 01 2024","Gottlieb, Barton and Medhurst"
"139","240","02 01 2024","Schimmel - Mayert"
"256","241","02 01 2024","O'Keefe, Toy and Dicki"
"108","242","02 01 2024","Ebert - Pagac"
"345","243","02 01 2024","Champlin, Grant and Kertzmann"
"147","244","02 01 2024","Dare, Bauch and Turcotte"
"204","245","02 01 2024","Powlowski Inc"
"248","246","02 01 2024","Keebler - Cartwright"
"454","247","02 01 2024","Jakubowski LLC"
"39","248","02 01 2024","Casper - Wilderman"
"154","249","02 01 2024","Kris Inc"
"16","250","02 01 2024","Upton Group"
"268","251","02 01 2024","Kuvalis, Bartoletti and Green"
"98","252","02 01 2024","Streich - Nitzsche"
"283","253","02 01 2024","Morar - Boehm"
"180","254","02 01 2024","Weber - Gleason"
"265","255","02 01 2024","Boehm - Yundt"
"130","256","02 01 2024","Mueller LLC"
"167","257","02 01 2024","West Group"
"134","258","02 01 2024","Heaney - Wyman"
"432","259","02 01 2024","Lehner - Robel"
"401","260","02 01 2024","Paucek - Deckow"
"304","261","02 01 2024","Tremblay Group"
"72","262","02 01 2024","Romaguera - Gusikowski"
"479","263","02 01 2024","Bergstrom, Bednar and Osinski"
"399","264","02 01 2024","Schuster Inc"
"1","265","02 01 2024","Robel - Homenick"
"160","266","02 01 2024","Zulauf - Senger"
"258","267","02 01 2024","Botsford, Schiller and Corkery"
"312","268","02 01 2024","Wisoky - Crona"
"224","269","02 01 2024","Thiel - Rutherford"
"224","270","02 01 2024","Emmerich, Boyle and Altenwerth"
"18","271","02 01 2024","Wehner Group"
"300","272","02 01 2024","Kautzer and Sons"
"19","273","02 01 2024","Lubowitz - Batz"
"411","274","02 01 2024","Collins LLC"
"322","275","02 01 2024","Lang - Terry"
"493","276","02 01 2024","Brown Group"
"169","277","02 01 2024","Pollich, Schmitt and Dicki"
"469","278","02 01 2024","Sawayn, Senger and Spinka"
"169","279","02 01 2024","Kautzer and Sons"
"42","280","02 01 2024","Corkery - Blick"
"409","281","02 01 2024","Thiel, Trantow and Huel"
"146","282","02 01 2024","Lueilwitz Group"
"314","283","02 01 2024","Bahringer, Hammes and Padberg"
"140","284","02 01 2024","Considine - Macejkovic"
"385","285","02 01 2024","Baumbach, Bernier and Klocko"
"479","286","02 01 2024","Hahn LLC"
"3","287","02 01 2024","Johnston - Block"
"448","288","02 01 2024","VonRueden Group"
"268","289","02 01 2024","Dickens, Quigley and Will"
"314","290","02 01 2024","Bartoletti, Gleichner and Sawayn"
"123","291","02 01 2024","Carroll, Kulas and Schiller"
"433","292","02 01 2024","Rau, Pouros and McClure"
"437","293","02 01 2024","Schoen, Steuber and Kuphal"
"106","294","02 01 2024","Donnelly and Sons"
"333","295","02 01 2024","Bergstrom - Tremblay"
"104","296","02 01 2024","Auer - Wuckert"
"211","297","02 01 2024","Olson Inc"
"101","298","02 01 2024","Fahey Inc"
"266","299","02 01 2024","Kuvalis and Sons"
"447","300","02 01 2024","West Group"
"196","301","02 01 2024","Haag Group"
"281","302","02 01 2024","Conroy - Lueilwitz"
"241","303","02 01 2024","Lindgren and Sons"
"352","304","02 01 2024","Smith, Bahringer and Nolan"
"145","305","02 01 2024","Kuvalis, Bergnaum and Brakus"
"139","306","02 01 2024","Armstrong Group"
"235","307","02 01 2024","Rau, Dibbert and Deckow"
"0","308","02 01 2024","Schuster - Boehm"
"288","309","02 01 2024","Medhurst Inc"
"282","310","02 01 2024","Johnson Inc"
"313","311","02 01 2024","Schowalter - Daugherty"
"179","312","02 01 2024","McClure Group"
"213","313","02 01 2024","Lang - Osinski"
"268","314","02 01 2024","Krajcik, Ruecker and Pacocha"
"362","315","02 01 2024","Fisher - Botsford"
"82","316","02 01 2024","Weber LLC"
"480","317","02 01 2024","Block and Sons"
"234","318","02 01 2024","Durgan Group"
"495","319","02 01 2024","Ward, Morissette and Breitenberg"
"432","320","02 01 2024","Davis - Osinski"
"173","321","02 01 2024","McClure, Will and Schowalter"
"238","322","02 01 2024","Becker, Friesen and Johnston"
"145","323","02 01 2024","Walker and Sons"
"135","324","02 01 2024","Walsh, Bosco and Kovacek"
"304","325","02 01 2024","Jerde, Bayer and Okuneva"
"93","326","02 01 2024","Watsica - O'Hara"
"397","327","02 01 2024","Baumbach Inc"
"236","328","02 01 2024","Heaney, Flatley and Steuber"
"284","329","02 01 2024","Price, Hudson and Borer"
"38","330","02 01 2024","Hand LLC"
"425","331","02 01 2024","Walker and Sons"
"278","332","02 01 2024","Fisher, Wiegand and Bins"
"202","333","02 01 2024","Mante Group"
"373","334","02 01 2024","Swift, Mayert and Huels"
"149","335","02 01 2024","Carter, Borer and Gottlieb"
"325","336","02 01 2024","Roob, Haley and Bernier"
"39","337","02 01 2024","Bergnaum - Cruickshank"
"131","338","02 01 2024","Lind, Wisoky and Beier"
"451","339","02 01 2024","Von, Crist and Buckridge"
"215","340","02 01 2024","Stehr - Brakus"
"135","341","02 01 2024","Reichel - Pacocha"
"31","342","02 01 2024","Franey LLC"
"241","343","02 01 2024","Casper, Wehner and Adams"
"223","344","02 01 2024","Zemlak - Kassulke"
"415","345","02 01 2024","Schuster, Kulas and Crist"
"418","346","02 01 2024","Schuppe - Ruecker"
"366","347","02 01 2024","Wisoky Inc"
"338","348","02 01 2024","Trantow Inc"
"213","349","02 01 2024","Lynch, Simonis and Reinger"
"14","350","02 01 2024","Runte, Barrows and Luettgen"
"375","351","02 01 2024","Walker, Predovic and Sanford"
"31","352","02 01 2024","Jerde Inc"
"10","353","02 01 2024","Kessler - Turner"
"479","354","02 01 2024","Huels - Daugherty"
"12","355","02 01 2024","Langworth, Kertzmann and Barrows"
"464","356","02 01 2024","O'Kon, McCullough and West"
"411","357","02 01 2024","Schiller LLC"
"303","358","02 01 2024","Murphy, Keeling and Torphy"
"64","359","02 01 2024","Gorczany Inc"
"191","360","02 01 2024","Pouros, Runte and Bartoletti"
"284","361","02 01 2024","Heller, Osinski and Kassulke"
"317","362","02 01 2024","Durgan - O'Connell"
"406","363","02 01 2024","Kris LLC"
"116","364","02 01 2024","Green and Sons"
"381","365","02 01 2024","Schaefer, Funk and Hoppe"
"337","366","02 01 2024","Goldner - D'Amore"
"426","367","02 01 2024","Gerlach, Stoltenberg and Brekke"
"424","368","02 01 2024","Satterfield Inc"
"249","369","02 01 2024","Schulist - Weimann"
"181","370","02 01 2024","Rippin, Spinka and Zboncak"
"318","371","02 01 2024","Conroy - Pagac"
"206","372","02 01 2024","Mohr - Yost"
"103","373","02 01 2024","Abernathy, Schneider and Shanahan"
"168","374","02 01 2024","Littel, Durgan and Wolff"
"182","375","02 01 2024","Conroy - Beatty"
"67","376","02 01 2024","Grady, Lindgren and Haag"
"65","377","02 01 2024","Stark, Waters and Bogisich"
"376","378","02 01 2024","Larkin Inc"
"189","379","02 01 2024","Wunsch, Kemmer and Cole"
"168","380","02 01 2024","Labadie and Sons"
"233","381","02 01 2024","Monahan, Pagac and Brakus"
"140","382","02 01 2024","Spinka Group"
"322","383","02 01 2024","Funk, Ferry and Leuschke"
"292","384","02 01 2024","Schmitt - Cummerata"
"375","385","02 01 2024","Padberg, Herman and Toy"
"377","386","02 01 2024","McClure, Harvey and Parisian"
"3","387","02 01 2024","Hills Group"
"262","388","02 01 2024","Buckridge LLC"
"139","389","02 01 2024","Moen, Von and Schaefer"
"354","390","02 01 2024","Kovacek, Botsford and McCullough"
"474","391","02 01 2024","Batz Group"
"124","392","02 01 2024","Balistreri - Beahan"
"464","393","02 01 2024","Brakus, Blanda and Rutherford"
"131","394","02 01 2024","McLaughlin - Turner"
"119","395","02 01 2024","Herzog, Stroman and Oberbrunner"
"127","396","02 01 2024","Corkery LLC"
"381","397","02 01 2024","Bartoletti, Fadel and Blanda"
"480","398","02 01 2024","McDermott - Crooks"
"229","399","02 01 2024","Lubowitz, Goyette and Carter"
"498","400","02 01 2024","Stark - Schoen"
"356","401","02 01 2024","Koch Inc"
"298","402","02 01 2024","King Inc"
"472","403","02 01 2024","Smitham LLC"
"474","404","02 01 2024","Lowe Group"
"390","405","02 01 2024","Volkman, Casper and Raynor"
"87","406","02 01 2024","Gutmann LLC"
"181","407","02 01 2024","Kunde Group"
"131","408","02 01 2024","Brekke - Herman"
"144","409","02 01 2024","Konopelski, Douglas and Gibson"
"137","410","02 01 2024","Bailey and Sons"
"348","411","02 01 2024","Quitzon, McCullough and Fay"
"74","412","02 01 2024","Ratke and Sons"
"92","413","02 01 2024","Mills Inc"
"482","414","02 01 2024","Donnelly - Hand"
"317","415","02 01 2024","Quigley - Wilkinson"
"343","416","02 01 2024","Beer - Stracke"
"489","417","02 01 2024","Johns and Sons"
"411","418","02 01 2024","Kris, Windler and Gorczany"
"329","419","02 01 2024","Hessel, Dietrich and Ledner"
"48","420","02 01 2024","Jerde - Lind"
"461","421","02 01 2024","Considine, Satterfield and Hintz"
"296","422","02 01 2024","Bartoletti, Reichel and Witting"
"71","423","02 01 2024","Doyle, Schuster and D'Amore"
"239","424","02 01 2024","Emard, Prosacco and Hickle"
"377","425","02 01 2024","Lockman Group"
"104","426","02 01 2024","Kovacek - Stanton"
"323","427","02 01 2024","Gottlieb Group"
"124","428","02 01 2024","Howell, Parker and Zieme"
"243","429","02 01 2024","McKenzie LLC"
"117","430","02 01 2024","Lockman and Sons"
"94","431","02 01 2024","Nolan, Muller and Weimann"
"180","432","02 01 2024","Crooks, Hettinger and Steuber"
"455","433","02 01 2024","Wolff, Kuhn and Hayes"
"324","434","02 01 2024","Hodkiewicz and Sons"
"458","435","02 01 2024","DuBuque, Parisian and Schinner"
"180","436","02 01 2024","Koch Group"
"240","437","02 01 2024","Considine Inc"
"392","438","02 01 2024","Feest LLC"
"411","439","02 01 2024","Franecki, Raynor and Satterfield"
"359","440","02 01 2024","Schultz Group"
"315","441","02 01 2024","Gottlieb, Labadie and Herzog"
"288","442","02 01 2024","Stoltenberg LLC"
"214","443","02 01 2024","Wuckert - O'Kon"
"454","444","02 01 2024","Nader Inc"
"37","445","02 01 2024","Rempel - Heidenreich"
"172","446","02 01 2024","Emard Inc"
"471","447","02 01 2024","O'Keefe LLC"
"117","448","02 01 2024","Grimes, Treutel and Koelpin"
"54","449","02 01 2024","Spinka - Monahan"
"286","450","02 01 2024","Haley, Botsford and Hayes"
"155","451","02 01 2024","O'Conner - Rempel"
"283","452","02 01 2024","Mann - Torp"
"155","453","02 01 2024","Kuhlman, Armstrong and Adams"
"420","454","02 01 2024","Weissnat - Johnston"
"460","455","02 01 2024","Davis Group"
"383","456","02 01 2024","Jones Group"
"346","457","02 01 2024","Jerde Inc"
"158","458","02 01 2024","Ziemann - Schultz"
"405","459","02 01 2024","Gorczany and Sons"
"24","460","02 01 2024","Corkery and Sons"
"317","461","02 01 2024","MacGyver - Gleichner"
"256","462","02 01 2024","Kling - Douglas"
"175","463","02 01 2024","Jakubowski and Sons"
"322","464","02 01 2024","Huel - Monahan"
"386","465","02 01 2024","Casper, Hamill and Cruickshank"
"399","466","02 01 2024","O'Reilly - Brakus"
"267","467","02 01 2024","Brakus, Hodkiewicz and Casper"
"411","468","02 01 2024","Waelchi - Abbott"
"15","469","02 01 2024","Walsh - Hodkiewicz"
"113","470","02 01 2024","Erdman, Carter and Medhurst"
"295","471","02 01 2024","O'Keefe - Reilly"
"356","472","02 01 2024","Lang Group"
"14","473","02 01 2024","Hilpert, Price and MacGyver"
"367","474","02 01 2024","Hayes LLC"
"71","475","02 01 2024","Ullrich - Steuber"
"466","476","02 01 2024","Franecki and Sons"
"192","477","02 01 2024","Flatley, O'Keefe and Gorczany"
"366","478","02 01 2024","Cassin, Morar and Hauck"
"427","479","02 01 2024","Pollich - Carter"
"211","480","02 01 2024","Hills Inc"
"340","481","02 01 2024","Pfannerstill - Boyer"
"108","482","02 01 2024","Cormier, Volkman and Williamson"
"369","483","02 01 2024","Crona Inc"
"401","484","02 01 2024","Anderson LLC"
"142","485","02 01 2024","Lesch - Kertzmann"
"301","486","02 01 2024","Kuphal - Dibbert"
"154","487","02 01 2024","Conroy, Franey and Frami"
"94","488","02 01 2024","Balistreri LLC"
"384","489","02 01 2024","Metz - Romaguera"
"174","490","02 01 2024","Bartoletti, Abernathy and Spencer"
"331","491","02 01 2024","Wintheiser - Sporer"
"469","492","02 01 2024","Schamberger and Sons"
"407","493","02 01 2024","Cole, Kunde and Bartoletti"
"303","494","02 01 2024","Braun Inc"
"22","495","02 01 2024","White - Haag"
"481","496","02 01 2024","Gottlieb LLC"
"436","497","02 01 2024","Marvin - Klein"
"340","498","02 01 2024","Hammes, Halvorson and Swift"
"462","499","02 01 2024","Brakus - Price"
"431","500","02 01 2024","Gutkowski - Crona"
"215","501","02 01 2024","Pagac Inc"
"331","502","02 01 2024","Terry and Sons"
"256","503","02 01 2024","Volkman, Treutel and Bruen"
"416","504","02 01 2024","Wilderman LLC"
"241","505","02 01 2024","Jakubowski and Sons"
"223","506","02 01 2024","Wisoky, Crooks and Lynch"
"360","507","02 01 2024","Crooks - Gusikowski"
"95","508","02 01 2024","Lesch, Boyer and Powlowski"
"392","509","02 01 2024","Mraz and Sons"
"160","510","02 01 2024","Kreiger, Bauch and Keeling"
"10","511","02 01 2024","Gislason Group"
"317","512","02 01 2024","Block and Sons"
"465","513","02 01 2024","Walter - Bode"
"172","514","02 01 2024","Mitchell - Haag"
"212","515","02 01 2024","Powlowski - Streich"
"256","516","02 01 2024","Christiansen Group"
"287","517","02 01 2024","Dibbert Group"
"457","518","02 01 2024","Ortiz - Funk"
"43","519","02 01 2024","Glover, Hermann and Russel"
"357","520","02 01 2024","Bednar - Turcotte"
"359","521","02 01 2024","Schoen LLC"
"33","522","02 01 2024","Gutmann, Emmerich and Runolfsdottir"
"467","523","02 01 2024","Doyle LLC"
"416","524","02 01 2024","Schumm Group"
"309","525","02 01 2024","Considine - Raynor"
"48","526","02 01 2024","Pacocha - Schmidt"
"418","527","02 01 2024","Bahringer, Koch and Leuschke"
"233","528","02 01 2024","Shields, Feeney and DuBuque"
"258","529","02 01 2024","Kertzmann LLC"
"375","530","02 01 2024","Heaney Inc"
"314","531","02 01 2024","O'Conner - Pfannerstill"
"422","532","02 01 2024","McLaughlin - Dooley"
"176","533","02 01 2024","Herzog, Wolf and Hessel"
"494","534","02 01 2024","Koss, Pfannerstill and Mohr"
"84","535","02 01 2024","Denesik Group"
"118","536","02 01 2024","Bosco, Pagac and Dare"
"71","537","02 01 2024","Hane and Sons"
"221","538","02 01 2024","McClure - Considine"
"326","539","02 01 2024","Gerlach - Emard"
"184","540","02 01 2024","Stiedemann - Zboncak"
"92","541","02 01 2024","West - Klocko"
"465","542","02 01 2024","Bernier - Effertz"
"446","543","02 01 2024","Torp, Zieme and Ratke"
"391","544","02 01 2024","Macejkovic, Torp and Kris"
"396","545","02 01 2024","Yundt Group"
"62","546","02 01 2024","Monahan Inc"
"464","547","02 01 2024","Goldner Group"
"478","548","02 01 2024","Morar Group"
"49","549","02 01 2024","Kiehn - Kuvalis"
"311","550","02 01 2024","Glover LLC"
"362","551","02 01 2024","Nolan, Waters and Feest"
"252","552","02 01 2024","Cremin, Will and Ullrich"
"429","553","02 01 2024","Lakin, Luettgen and Fahey"
"492","554","02 01 2024","Pfannerstill Group"
"320","555","02 01 2024","Gorczany, Reinger and Lindgren"
"220","556","02 01 2024","Mills, Friesen and Quigley"
"154","557","02 01 2024","O'Hara Inc"
"160","558","02 01 2024","King and Sons"
"352","559","02 01 2024","Lockman Inc"
"407","560","02 01 2024","Leffler, Paucek and Stamm"
"492","561","02 01 2024","Upton Group"
"381","562","02 01 2024","Mante - Heaney"
"95","563","02 01 2024","Macejkovic - O'Connell"
"71","564","02 01 2024","Bins LLC"
"250","565","02 01 2024","Larkin Inc"
"330","566","02 01 2024","Simonis, Kuhn and Hegmann"
"86","567","02 01 2024","Steuber, Beier and Murphy"
"349","568","02 01 2024","Hilpert Inc"
"365","569","02 01 2024","Jones, Schmidt and Franecki"
"263","570","02 01 2024","Metz, Weimann and Tremblay"
"220","571","02 01 2024","Donnelly, Schaefer and Lynch"
"369","572","02 01 2024","Watsica, Flatley and Nolan"
"44","573","02 01 2024","Hermann and Sons"
"129","574","02 01 2024","Deckow, Ortiz and Cormier"
